datetime,open,high,low,close,volume
2025-01-14,35.27,36.709,34.978,36.552,5566490.0
2025-01-15,36.553,40.026,36.179,39.811,9865433.0
2025-01-16,39.811,40.521,38.316,40.054,9337204.0
2025-01-17,40.055,41.821,40.055,41.359,7450714.0
2025-01-18,41.359,41.671,38.269,39.221,9659918.0
2025-01-19,39.222,40.562,34.907,35.659,15418424.0
2025-01-20,35.659,40.5,34.434,36.008,18399749.0
2025-01-21,36.009,37.579,34.478,36.947,9340635.0
2025-01-22,36.946,37.778,36.483,36.798,5631807.0
2025-01-23,36.798,36.952,34.614,35.545,9207514.0
2025-01-24,35.548,36.782,34.524,35.324,6294368.0
2025-01-25,35.324,37.257,34.873,36.609,5738362.0
2025-01-26,36.603,38.16,35.683,35.724,6417322.0
2025-01-27,35.724,36.031,32.845,34.17,13271092.0
2025-01-28,34.172,34.509,31.8,32.048,8370200.0
2025-01-29,32.049,33.83,31.86,32.779,8159176.0
2025-01-30,32.778,34.688,32.411,34.278,5237851.0
2025-01-31,34.278,36.159,33.795,34.421,7174012.0
2025-02-01,34.422,35.096,31.848,32.089,5803985.0
2025-02-02,32.09,32.565,25.805,27.614,17299340.0
2025-02-03,27.614,28.763,21.219,28.382,31084751.0
2025-02-04,28.382,28.623,25.518,26.448,14251341.0
2025-02-05,26.45,27.408,25.593,25.836,9047803.0
2025-02-06,25.836,26.804,24.241,24.488,10000909.0
2025-02-07,24.488,26.211,23.686,24.447,11607125.0
2025-02-08,24.448,24.813,23.9,24.569,6159615.0
2025-02-09,24.569,25.521,23.631,24.86,8455569.0
2025-02-10,24.859,25.989,23.838,25.658,8609298.0
2025-02-11,25.657,27.016,24.87,25.376,8663855.0
2025-02-12,25.376,27.087,24.257,26.491,10116871.0
2025-02-13,26.491,26.606,25.068,25.382,6986798.0
2025-02-14,25.383,27.219,25.281,26.371,8111235.0
2025-02-15,26.371,26.95,25.35,25.468,5060669.0
2025-02-16,25.467,25.57,24.706,24.842,4977628.0
2025-02-17,24.842,25.944,24.399,25.017,7813915.0
2025-02-18,25.019,25.112,22.92,23.513,11016725.0
2025-02-19,23.513,24.008,22.963,23.715,7784269.0
2025-02-20,23.715,25.344,23.697,25.142,9223605.0
2025-02-21,25.142,26.535,23.747,24.531,13774305.0
2025-02-22,24.531,26.37,24.421,25.823,7763685.0
2025-02-23,25.822,25.973,24.396,24.833,6440690.0
2025-02-24,24.833,25.163,21.417,21.866,13875628.0
2025-02-25,21.867,22.324,20.285,21.936,17813282.0
2025-02-26,21.938,22.582,20.976,21.859,13560654.0
2025-02-27,21.859,23.383,21.631,22.519,10209216.0
2025-02-28,22.519,22.6,20.201,22.368,16886466.0
2025-03-01,22.368,22.499,21.04,21.853,7853940.0
2025-03-02,21.854,24.986,21.538,24.941,14572008.0
2025-03-03,24.941,25.099,20.558,20.931,18791016.0
2025-03-04,20.932,21.098,18.828,19.982,21528894.0
2025-03-05,19.983,22.454,19.67,21.713,16541114.0
2025-03-06,21.713,22.566,20.876,20.988,13905254.0
2025-03-07,20.987,21.309,19.663,20.13,16815637.0
2025-03-08,20.129,21.075,19.4,20.488,11099582.0
2025-03-09,20.488,20.672,17.733,17.959,14853484.0
2025-03-10,17.958,19.056,16.14,16.253,21393826.0
2025-03-11,16.254,17.902,15.264,17.498,24919314.0
2025-03-12,17.498,18.963,16.93,18.904,17177857.0
2025-03-13,18.903,19.32,17.721,18.496,15556580.0
2025-03-14,18.495,19.295,18.452,18.557,13846578.0
2025-03-15,18.556,19.469,18.359,19.385,17342600.0
2025-03-16,19.385,19.84,18.1,18.245,14613366.0
2025-03-17,18.245,19.077,18.171,18.809,11602370.0
2025-03-18,18.809,19.266,18.31,18.972,14194347.0
2025-03-19,18.972,20.093,18.829,19.721,15394630.0
2025-03-20,19.722,19.855,18.382,18.736,10958422.0
2025-03-21,18.735,19.486,18.336,19.17,9745895.0
2025-03-22,19.171,19.734,19.062,19.417,6460216.0
2025-03-23,19.417,19.837,19.294,19.807,6195618.0
2025-03-24,19.808,22.13,19.766,21.471,16578600.0
2025-03-25,21.471,23.447,21.273,22.89,15511985.0
2025-03-26,22.891,23.23,21.815,22.041,12013702.0
2025-03-27,22.041,22.371,21.617,22.003,8470057.0
2025-03-28,22.004,22.179,19.755,20.351,15409165.0
2025-03-29,20.352,20.52,19.437,19.589,12059504.0
2025-03-30,19.59,19.894,18.669,18.855,10811205.0
2025-03-31,18.856,19.107,18.164,18.762,11626693.0
2025-04-01,18.761,19.933,18.704,19.809,11577838.0
2025-04-02,19.81,19.916,17.751,17.968,18626825.0
2025-04-03,17.969,18.98,17.563,18.144,14061410.0
2025-04-04,18.145,18.761,17.597,18.178,15550908.0
2025-04-05,18.177,18.368,17.663,17.869,6327338.0
2025-04-06,17.87,17.912,15.612,16.032,18529427.0
2025-04-07,16.034,17.26,14.652,16.677,34190368.0
2025-04-08,16.678,17.726,15.916,16.137,20586269.0
2025-04-09,16.137,18.903,15.575,18.431,24301550.0
2025-04-10,18.431,18.443,17.556,18.303,14045888.0
2025-04-11,18.301,19.557,18.297,19.112,12995333.0
2025-04-12,19.111,21.008,18.832,20.48,13579677.0
2025-04-13,20.483,20.656,19.255,19.574,11237128.0
2025-04-14,19.573,20.677,19.533,20.105,12920712.0
2025-04-15,20.105,20.272,18.952,19.002,10630878.0
2025-04-16,19.002,19.274,18.453,18.742,10661692.0
2025-04-17,18.742,19.553,18.678,19.037,8328594.0
2025-04-18,19.037,19.334,18.83,19.058,5289432.0
2025-04-19,19.058,20.36,19.014,19.886,7327654.0
2025-04-20,19.885,20.03,19.214,19.491,6538795.0
2025-04-21,19.492,20.955,19.492,19.908,13463137.0
2025-04-22,19.908,22.301,19.403,22.103,15739051.0
2025-04-23,22.104,23.075,21.876,22.326,15215741.0
2025-04-24,22.326,22.637,21.601,22.369,9813531.0
2025-04-25,22.368,22.859,21.75,22.152,11158681.0
2025-04-26,22.152,22.985,21.686,22.398,8990768.0
2025-04-27,22.398,22.785,21.637,21.699,9216899.0
2025-04-28,21.699,22.422,21.001,21.83,13019059.0
2025-04-29,21.83,22.288,21.248,21.547,9591878.0
2025-04-30,21.548,21.938,20.332,20.899,10327728.0
2025-05-01,20.898,21.859,20.8,21.626,10358909.0
2025-05-02,21.626,22.176,20.944,21.241,10463853.0
2025-05-03,21.241,21.267,20.46,20.509,6303492.0
2025-05-04,20.508,20.622,19.745,19.886,7926874.0
2025-05-05,19.886,20.23,19.269,19.672,10257109.0
2025-05-06,19.672,20.117,19.254,20.005,11175598.0
2025-05-07,20.005,20.245,19.064,19.537,11136804.0
2025-05-08,19.536,22.162,19.479,22.15,17649741.0
2025-05-09,22.149,24.0,21.955,23.266,19829772.0
2025-05-10,23.266,25.975,23.007,25.81,15819155.0
2025-05-11,25.809,26.026,24.14,24.776,12847638.0
